Word,Count
b'guided',3
b'lobbyists',1
b'lost',2
b'developing',1
b'got',1
b'dream',1
b'Irans',1
b'creating',2
b'Americans',15
b'An',2
b'solution',2
b'members',4
b'tap',1
b'peaceful',1
b'engine',1
b'find',5
b'was',15
b'worlds',1
b'motorcycles',2
b'behalf',1
b'Security',2
b'advance',1
b'defend',3
b'criminals',1
b'learn',2
b'scholarship',1
b'Our',8
b'Christians',1
b'imposing',2
b'thousands',3
b'evil',1
b'less',1
b'savages',1
b'criminal',2
b'used',1
b'regulation',1
b'not',26
b'legislation',1
b'labor',1
b'Were',1
b'wealth',1
b'entrepreneurs',1
b'Solving',1
b'outcome',1
b'inner',2
b'right',6
b'Remington',1
b'hope',3
b'vehicle',1
b'nothing',2
b'spent',2
b'Cures',1
b'early',1
b'Special',1
b'We',35
b'workers',6
b'Heroic',1
b'lifted',1
b'learning',1
b'confidence',1
b'news',1
b'enter',1
b'election',2
b'sheriffs',1
b'turned',1
b'desperately',1
b'F35',1
b'face',1
b'level',1
b'puts',1
b'today',2
b'looking',1
b'support',6
b'throughout',4
b'Edison',1
b'Thomas',1
b'country',21
b'failures',1
b'mind',1
b'murder',2
b'case',1
b'worry',1
b'Its',4
b'opportunity',1
b'than',8
b'enrich',1
b'launch',1
b'cooperate',1
b'family',4
b'Notre',1
b'flag',1
b'gained',1
b'courage',1
b'brighter',1
b'we',67
b'warned',1
b'Tonight',3
b'team',1
b'pressure',1
b'illegal',2
b'destruction',1
b'hero',2
b'saving',1
b'House',1
b'through',3
b'placed',1
b'directed',2
b'investment',1
b'who',18
b'big',4
b'outside',1
b'acknowledge',1
b'theyll',1
b'Michael',1
b'Some',1
b'Education',1
b'43',2
b'higher',1
b'hearing',1
b'I',38
b'Organization',1
b'middle',3
b'thinking',1
b'State\xe2\x80\x94the',1
b'expressing',1
b'artists',1
b'Department',5
b'economy',1
b'Remember',1
b'ruin',1
b'national',6
b'Trudeau',1
b'Police',1
b'better',5
b'chart',1
b'fates',1
b'2015',1
b'simply',1
b'trade',4
b'historic',3
b'debt',1
b'remarkable',1
b'teaches',1
b'disaster',1
b'love',5
b'swiftly',1
b'Jamiels',1
b'any',2
b'individuals',2
b'watching',1
b'forge',1
b'With',1
b'Weve',4
b'Everything',1
b'man',2
b'Muslim',1
b'Senate',1
b'vetting',2
b'ban\xe2\x80\x94applause\xe2\x80\x94thank',1
b'across',10
b'protect',5
b'aspirations',1
b'begin',2
b'affordable',1
b'center\xe2\x80\x94with',1
b'Imagine',1
b'cycle',3
b'Belgium',1
b'conclusion',1
b'Jessica',3
b'stamps',1
b'Germany',1
b'she',5
b'tunnels',1
b'get',6
b'media',1
b'storied',1
b'greater',4
b'role',1
b'Right',1
b'but',10
b'roaring',1
b'so',15
b'memory',1
b'bridges',2
b'live',2
b'Oliver',4
b'know',6
b'first',5
b'unnecessary',1
b'countrys',1
b'rely',1
b'approved',1
b'taking',1
b'lead',2
b'to',144
b'welfare',1
b'generated',1
b'broken',2
b'decisively',1
b'slaughtered',1
b'stable',1
b'restore',2
b'spoken',1
b'had',5
b'from',22
b'only',5
b'innocent',1
b'forever',1
b'epidemic',1
b'became',2
b'center',1
b'forget',1
b'First',2
b'footprints',1
b'Above',1
b'Carryn',1
b'social',1
b'partnerships',1
b'part',1
b'Crumbling',1
b'against',2
b'occur',1
b'Court',2
b'job',4
b'massively',1
b'blood',1
b'government',2
b'allow',4
b'saved',3
b'around',1
b'keeps',1
b'progress',1
b'disasters',2
b'crime',1
b'my',7
b'else',1
b'set',1
b'form',2
b'break',3
b'land',2
b'attempt',1
b'survivor',1
b'they',23
b'further',3
b'entities',1
b'Intelligence',1
b'came',2
b'products',2
b'silenced',1
b'industries',1
b'intelligence',1
b'released',1
b'sales',1
b'life',6
b'condemning',1
b'construction',2
b'anyone',2
b'legacy',1
b'jobcrushing',1
b'day',2
b'officials',2
b'Sheriff',1
b'Drug',1
b'This',5
b'broke',1
b'shrink',1
b'able',4
b'if',2
b'liberty',1
b'daughter',2
b'ready',2
b'accounts',1
b'alone',2
b'families',3
b'ISIS',1
b'creations',1
b'contracts',1
b'turn',1
b'Reducing',1
b'measures',1
b'down',10
b'move',1
b'tell',1
b'by',25
b'funding',1
b'incredible',4
b'schools',1
b'align',1
b'ultimately',1
b'bill',1
b'250',2
b'look',4
b'proudly',1
b'at',15
b'everyone',3
b'If',3
b'displaced',1
b'update',1
b'Congress',8
b'forces',1
b'those',11
b'Bernardino',1
b'And',19
b'celebration',2
b'Fourth',1
b'into',5
b'Dame',1
b'home',7
b'Victims',1
b'experienced',1
b'ravaged',1
b'60000',1
b'Those',1
b'reach',1
b'Should',1
b'Action',1
b'immigrant',3
b'competitive',1
b'go',1
b'branch',1
b'where',7
b'unite',1
b'force',1
b'eliminates',1
b'there',3
b'everything',1
b'heart',1
b'Nations',3
b'airports',1
b'helped',1
b'allies',6
b'When',2
b'Homeland',2
b'would',3
b'Walmart',1
b'differences',1
b'Lady',1
b'great',15
b'White',1
b'rebirth',1
b'cross',1
b'glorious',1
b'Access',1
b'real',1
b'solved',1
b'brave',3
b'story',1
b'violence',1
b'strengthen',1
b'deficit',1
b'marvels',1
b'Force',2
b'City',1
b'trillions',2
b'Mattis',1
b'enrolled',1
b'none',1
b'magnificent',1
b'values',1
b'evening',1
b'the',219
b'percent',2
b'Megan',3
b'15',1
b'going',5
b'In',6
b'data',1
b'save',4
b'company',2
b'beginning',2
b'focus',1
b'prey',1
b'Denisha',3
b'Lockheed',1
b'According',2
b'protest',1
b'double',1
b'quarterback',1
b'vile',1
b'cases',1
b'raged',1
b'Then',1
b'pouring',2
b'replaced',1
b'along',2
b'laws',4
b'crumbled',1
b'help',7
b'Ive',3
b'late',1
b'begun',1
b'times',1
b'parents',1
b'fascism',1
b'withdrawn',1
b'lawless',2
b'expand',2
b'steel',1
b'reaching',1
b'Today',3
b'Sciences',1
b'met',1
b'pipelines',2
b'choose',1
b'public',3
b'skilled',1
b'stop',4
b'Chief',1
b'vision',3
b'over',4
b'need',6
b'gleaming',1
b'provided',1
b'Justice',4
b'Operator',1
b'credits',1
b'left',2
b'given',2
b'Bible',1
b'calling',3
b'theyve',1
b'admission',1
b'Departments',1
b'sweeping',1
b'advantage',2
b'declared',1
b'thereby',1
b'patients',1
b'telegraph',1
b'refused',1
b'appoint',1
b'HarleyDavidson',1
b'places',2
b'abroad',1
b'markets',1
b'sanctuary',1
b'health',9
b'mine',1
b'offenses',1
b'initiated',1
b'raid',1
b'terrorism',4
b'insurance',5
b'nation',4
b'ask',2
b'school',5
b'childcare',1
b'as',21
b'way',4
b'security',3
b'sound',1
b'Recent',1
b'overseas',2
b'250th',4
b'challenges',1
b'torch',2
b'engagement',1
b'slain',1
b'serve',3
b'neglected',1
b'keeping',1
b'pour',1
b'Kansas',1
b'firmly',1
b'failed',2
b'stability',1
b'straining',1
b'almost',2
b'witnessing',1
b'Defense',1
b'unveiled',1
b'impossible',1
b'for',54
b'becoming',1
b'such',1
b'Immigration',1
b'poverty',3
b'dad',1
b'securing',1
b'jobkilling',1
b'choice',5
b'financed',1
b'unify',1
b'immediately',1
